"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"TP1";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP2";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP3";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP4";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"PCF8574";"PCF8574";"SO16";"";"Unavailable";"";" Remote 8-Bit I/O Expander for I2C-Bus ";"";"";"Texas Instruments";"PCF8574";"SOIC-16 Texas Instruments";"None";"";"";"";"";
"U2";"MIC5219 3.3V";"V_REG_MIC52193.3V";"SOT23-5";"V_REG MIC5219";"";"";"";"";"";"";"";"";"";"VREG-09872";"";"";"MIC5219 3.3V";
"U3";"LTC4054LES5-4.2#TRPBF";"LTC4054LES5-4.2#TRPBF";"SOT95P280X100-5N";"LTC4054L-4.2 - 150mA Standalone Linear Li-Ion Battery Charger in ThinSOT";"";"";" LTC4054L-4.2 - 150mA Standalone Linear Li-Ion Battery Charger in ThinSOT ";"LTC4054LES5-4.2#TRPBFCT-ND";"https://www.digikey.co.id/product-detail/en/linear-technology-analog-devices/LTC4054LES5-4.2-TRPBF/LTC4054LES5-4.2-TRPBFCT-ND/1888452?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"Linear Technology/Analog";"LTC4054LES5-4.2#TRPBF";"SOT-23-5 Linear Technology";"";"";"";"";"";
"U4";"CH340G";"CH340GSMD";"SO016";"A simple USB 2.0 to Serial IC.";"";"";"";"";"";"";"";"";"";"IC-13498";"";"";"CH340G";
"U5";"UDA1334ATS";"MICROBUILDER_AUDIO_I2S_UDA1334""";"MICROBUILDER_SSOP16_4.4MM";"UDA1334 I2C Audio DAC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U6";"ESD0402";"ESD0402";"ESD0402";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U7";"ESD0402";"ESD0402";"ESD0402";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U8";"ESD0402";"ESD0402";"ESD0402";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Y1";"12Mhz";"CRYSTALSMD-5X3.2-4PAD";"CRYSTAL-SMD-5X3.2-4PAD";"Crystals (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";
